"case","school","grade","female","ageyr","mo","agemo","t01_visperc","t02_cubes","t03_frmbord","t04_lozenges","t05_geninfo","t06_paracomp","t07_sentcomp","t08_wordclas","t09_wordmean","t10_addition","t11_code","t12_countdot","t13_sccaps","t14_wordrecg","t15_numbrecg","t16_figrrecg","t17_objnumb","t18_numbfig","t19_figword","t20_deduction","t21_numbpuzz","t22_probreas","t23_series","t24_woody","t25_frmbord2","t26_flags"
119,"Pasteur",8,2,13,3,159,3.5714,4.25,6.8,2.25,2.7273,3.3333,3.5,3.6,1.4286,4.4783,4.6429,4.15,3.3611,7.4545,4.5714,7.5714,2.5,2,4.25,1.3333,5.75,4.2222,2.2222,6.25,NA,NA
120,"Pasteur",8,1,13,4,160,4.8571,9.25,5.2,4.375,3.4545,3.6667,4.75,6.2,3,3.2609,3.1429,3.9,4.8611,6.8182,5,7.8571,2.5,3,2.5,1.5,3.25,2.6667,2.4444,5,NA,NA
121,"Pasteur",8,2,13,1,157,5.4286,5.25,5.2,2.625,3.5455,4.3333,4.25,4.8,1.5714,2.8696,4.6429,6,5.4444,6.0909,4.7143,7,3,4.75,5,1.3333,1.75,4.7778,2.4444,4.75,NA,NA
122,"Pasteur",8,1,13,4,160,5.2857,6.25,6,4.25,3.6364,5,3.5,5.4,1.8571,4.5652,5.2857,5.35,5.4444,5.1818,3.5714,6.1429,0,3.5,5,3.8333,4.5,3.3333,3.7778,6.25,NA,NA
123,"Pasteur",8,2,14,0,168,4.4286,6.5,7.2,1.75,4.3636,4,5.25,6.2,1.8571,4.6957,5.2857,4.3,6,5.2727,5,6.1429,4,1.5,2.5,2.5556,4,2,1.7778,6.75,NA,NA
124,"Pasteur",8,1,14,5,173,3.5714,7.5,6,3.875,1.8182,1,2,4.4,0.8571,3.5652,4.7143,3.95,6.3333,6.1818,4,7.8571,3,2.5,4,2.7778,3.25,1.8889,2.1111,4.75,NA,NA
125,"Pasteur",8,2,13,1,157,3.5714,5.75,4.8,1,4.0909,3.6667,4.75,5.8,1.8571,4.8261,4.7143,5.85,5.4167,5.6364,3.8571,5.7143,1.5,1.5,3,1.3889,3.75,2.5556,2.3333,6,NA,NA
126,"Pasteur",8,1,16,0,192,4.4286,5.75,6,2.5,3.3636,2.6667,4.75,5.4,2.7143,5.3043,4.5714,6.85,5,6.3636,2.7143,5.7143,2.75,3.75,4.25,3,3.75,2.3333,1.1111,4.75,NA,NA
127,"Pasteur",8,1,13,10,166,3.7143,5.25,7.2,4,3.1818,3,2.75,3.4,1,5.5652,4.5714,6.6,6.4444,3.1818,1.8571,8,2.25,1.75,3.5,0.1111,4.5,2.4444,2.6667,7,NA,NA
129,"Pasteur",8,1,13,4,160,3,7.25,6,3.375,4.0909,2.3333,2.25,5.8,1.1429,3.6957,4.0714,5.2,5.1667,6.3636,5,7.4286,1.25,2.5,3.25,1,2.75,1.8889,1.7778,5.75,NA,NA
130,"Pasteur",8,1,16,5,197,4,4.75,5.2,1.625,2.5455,2.6667,3.25,3.8,2,4.087,4.2143,5.55,5.4444,4.6364,3.2857,4.7143,0.75,5,4,1.1667,3.5,2.3333,0.5556,5.5,NA,NA
131,"Pasteur",8,2,14,4,172,4.1429,6,5.2,1.5,3.2727,2.6667,4.25,5.6,1.2857,5.8261,7.3571,6.4,6.8611,5.8182,4.4286,6.4286,5,2.5,3.75,1.8333,5.5,2.8889,2.5556,6,NA,NA
132,"Pasteur",8,1,15,1,181,4.2857,5.5,6.8,2.375,4.0909,3.3333,3,4.8,2,4.6087,4.1429,6.4,3.3056,4.3636,3.4286,5,0.5,2.5,3,1,3.25,3.1111,1.7778,5.25,NA,NA
133,"Pasteur",8,2,14,4,172,6.4286,7,7.6,4.25,3.3636,4,6.5,6.2,3.5714,3.7391,5.9286,7.6,6.5,6.5455,3.8571,8.1429,3.5,4,5,3,4.75,4.8889,3.7778,7.25,NA,NA
134,"Pasteur",8,2,15,8,188,4.5714,5.25,6.4,4.125,2.2727,2.3333,3.75,4.6,1.5714,3.6522,5.1429,5.35,4.7778,6.7273,4.8571,6.1429,5.75,4.25,2.5,3.5,1.75,2.8889,0.6667,4.75,NA,NA
135,"Pasteur",8,1,14,5,173,5.2857,6.75,5.2,4.125,2.6364,3.3333,5,4.8,2.8571,5,5.0714,6.9,6.3889,5.6364,3.8571,7.7143,3,3.5,2.75,3.6667,3.75,3.3333,3.2222,6.75,NA,NA
136,"Pasteur",8,2,15,4,184,4.5714,8.75,6,3.125,3.4545,4.3333,4,5.8,1.1429,4,6.0714,6.95,5.6667,5.9091,3.5714,5.4286,2.25,2.5,4.75,2,3.5,3.3333,1.5556,4.5,NA,NA
137,"Pasteur",8,2,13,11,167,3.7143,7,6.8,1,3.4545,4.3333,5.5,5,3,5.1304,4.7143,5.65,4.9167,4.3636,1.5714,5.2857,2.75,2,3,2.1667,3.5,2.7778,2.2222,5,NA,NA
138,"Pasteur",8,2,13,11,167,4.1429,7,6,1.125,3.9091,3.3333,5,3.8,2.2857,4.913,6.0714,5.25,4.9722,6.0909,3,5.1429,3.5,1.5,1.5,1.2778,4,3.5556,2,6.25,NA,NA
139,"Pasteur",8,2,13,4,160,5.1429,7.5,6.8,3.25,3.7273,3,6,6.4,2.4286,3.3043,5.4286,5.1,5.7778,7.0909,5.7143,7.2857,4.5,3.5,2.5,1.6667,3.75,3.7778,2.4444,6.5,NA,NA
140,"Pasteur",8,1,14,1,169,4.2857,4.5,4,1.625,3.6364,2,2.75,4.4,0.5714,4.5217,6.2143,6.25,6.3056,6.0909,4.1429,7.4286,2.25,3,2.5,1.0556,3.75,1.4444,2.2222,5.5,NA,NA
142,"Pasteur",8,1,13,11,167,3.5714,8,6.4,4.375,4.0909,4.3333,6.25,6.6,3.1429,4.5652,5.9286,7.8,7,5.2727,2.7143,6.8571,0.5,0.25,4.75,1,5,5.5556,4,6.5,NA,NA
143,"Pasteur",8,2,14,1,169,4.8571,5.5,6,3.5,3.8182,4,4.25,4.4,2.2857,7.2609,6.1429,6.35,7.1944,6,3.1429,7.2857,4,3.5,4.5,1.6667,4.5,2.5556,1.2222,6.25,NA,NA
144,"Pasteur",8,2,15,3,183,4.2857,6.25,6,1.75,1.7273,1.3333,2,3.4,0.5714,4.913,3.5,6,4.8056,5,3.5714,5.1429,1.25,1.5,1.75,0.1667,0.75,2.2222,1,5.5,NA,NA
145,"Pasteur",8,2,13,6,162,3,5.25,5.2,2.25,2.8182,2,3.75,4.8,1.8571,4.6957,6.0714,5.25,3.7222,5.6364,3.4286,7,2.75,4.25,4,-0.6667,3.25,2.8889,0.5556,6.75,NA,NA
146,"Pasteur",8,1,14,7,175,6.2857,8,5.2,2.625,4,2.6667,5,6.2,2.4286,3.4348,5.6429,6,6.1667,5.2727,4.8571,6,2.25,3,2.75,0.9444,3.25,4.2222,2.4444,6.75,NA,NA
147,"Pasteur",8,1,13,4,160,5.2857,7.5,8,3.625,5.2727,4,6.25,5.6,2.5714,4.3913,6.8571,5.85,6.1111,3.4545,2.8571,6.1429,0.25,0.75,1.75,1.1111,4,2.8889,2.6667,5.25,NA,NA
148,"Pasteur",8,1,13,10,166,4.1429,5.25,5.2,4.5,4.0909,4.3333,5.75,4,2.8571,3.3478,4.7143,5.1,5.4444,5.7273,4.2857,5.7143,1.75,1.5,3,2.4444,3.25,4.3333,1.7778,5.25,NA,NA
149,"Pasteur",8,1,13,2,158,4.8571,6.25,6.4,2.75,4.6364,3.3333,5.25,4.6,2.1429,4.4348,4,5.15,4.5556,7.3636,5.1429,6.4286,1.75,1.5,3.75,2.3889,4.75,2.4444,1.7778,6.5,NA,NA
150,"Pasteur",8,2,14,2,170,4.7143,6.75,6.8,4.5,4.0909,2.3333,4.5,6.6,2.5714,6.2609,6.6429,6.55,6.8889,7.3636,3.5714,7.7143,4.25,1.25,4.5,2.3333,4.5,3.5556,3.5556,7.75,NA,NA
151,"Pasteur",8,2,14,7,175,4.4286,5,5.6,2.5,5.0909,3.3333,5.75,5.2,3,6.4348,8.1429,8.3,7.0833,7.7273,5.8571,8,6.5,4.75,5,1.5,4.25,3.7778,3.5556,7.5,NA,NA
152,"Pasteur",8,2,14,0,168,2.7143,3.75,4.4,1.5,3.7273,3.3333,5.75,6.4,2.2857,6.0435,5.7857,5.25,6.2222,5.5455,3.4286,8,2.5,1,4,0.7222,5.75,3.3333,2.2222,7.75,NA,NA
153,"Pasteur",8,2,14,9,177,4.2857,7.5,6.4,4.5,1.0909,2,1.5,4,0.4286,3.3043,4.0714,5.25,5.7222,7,5,7,2.75,2.5,4.5,1.3889,3.25,1.7778,1,5.5,NA,NA
154,"Pasteur",8,1,15,0,180,6.1429,9,6.8,3.875,3.6364,3.6667,5.25,6.6,4.7143,3.8261,5.6429,7.1,5.7778,4.7273,3.2857,8,2.25,1.25,3.25,1.8889,5,4.1111,2,7.75,NA,NA
155,"Pasteur",8,2,12,9,153,6.2857,6.75,8.8,4,6,6,6.5,7.4,6.1429,5.3478,6.2143,5.75,6.6111,6.9091,1.4286,6.5714,4,5,4.5,2.8333,5.5,5.4444,4.3333,8.25,NA,NA
156,"Pasteur",8,2,15,8,188,1.7143,5.5,5.6,0.625,2.8182,2.6667,5,3.2,0.8571,2.3913,4.5714,5.6,5.9722,5.4545,2.8571,4,3.25,2.5,3.5,0.6667,2.75,2.5556,1,4.5,NA,NA
157,"Pasteur",8,2,13,6,162,3.2857,5.5,4.8,1.875,4,3.6667,5,5.2,3,5.6087,6.7143,4.9,3.8611,6.3636,5.1429,6,3.5,3,4.5,1.3333,4.75,1.4444,2,6.75,NA,NA
158,"Pasteur",8,2,13,8,164,3.5714,6,5.2,1.25,4,4,5,6.2,2.5714,6.9565,7.7143,6.25,6.3056,7.0909,3.2857,6.4286,4.5,3.5,5,0.5,3.25,1.6667,1.2222,6.5,NA,NA
159,"Pasteur",8,2,15,8,188,4,5.75,6,1.625,2.3636,0.6667,2.5,4.2,1.4286,4.5217,4.3571,5,4.75,6,4.8571,5.8571,2.5,2.5,3.5,0.1667,3,2,1.6667,5.25,NA,NA
160,"Pasteur",8,1,14,4,172,5,4.75,7.2,2.625,5,5.6667,5.5,6.6,4.1429,3.5652,5,6.3,5.4722,6.1818,2.7143,6.2857,1.5,3.75,4.25,2.3333,5.5,2.7778,3.3333,5.5,NA,NA
162,"Pasteur",8,1,15,1,181,5.7143,5.5,6,4.375,2.6364,2.6667,3.75,5.2,1,5.1304,5.4286,4.75,5.2222,5.1818,2.2857,4.4286,0.25,0.75,2.5,0,2.5,2.1111,0.5556,5.75,NA,NA
163,"Pasteur",8,1,13,11,167,5.8571,7.25,6,4.25,5.4545,5,5.75,5.2,4.8571,5.6522,6.3571,7.55,6.1667,6.7273,5.5714,7.5714,3,3.25,4,1.9444,5.75,3.1111,3.7778,7.75,NA,NA
164,"Pasteur",8,1,15,5,185,4.5714,4.75,6,2.625,4.7273,3,5.5,5.6,2.1429,5.7826,4.8571,7.9,6.9444,4.0909,2.8571,7.2857,1,1.5,2.75,1.8333,4,4,1,5.25,NA,NA
165,"Pasteur",8,1,14,1,169,4.1429,5,7.6,2.375,4.1818,3,4.25,5.6,2.4286,5.3913,5.7857,7.5,5.4167,3.2727,4.1429,5,2.25,4.25,3.25,1.3333,4.75,3.2222,2.8889,6.25,NA,NA
166,"Pasteur",8,2,15,1,181,4.4286,6,5.6,2.375,3.0909,1.3333,2.25,5.2,1.1429,5.3913,5.7143,6.15,5.1944,5.9091,2.8571,7.8571,1.25,0.75,2.75,2.7222,4,2.8889,0.5556,6.75,NA,NA
167,"Pasteur",8,2,15,7,187,5.4286,6.75,6.4,1.125,1.9091,3,2.5,5.4,1.4286,4.6957,4.9286,5.6,4.1389,7.1818,5.1429,7.1429,2.75,2.25,4,2.1667,4.5,1.7778,1,5.5,NA,NA
168,"Pasteur",8,2,15,6,186,4.1429,5.75,4.8,1.25,3.4545,3,4.75,5.8,2.1429,3.6087,5.6429,6.15,4.6944,6.4545,2.4286,6.4286,1.25,2.25,3,-0.3333,2.5,2.6667,1.1111,6.5,NA,NA
201,"Grant-White",7,1,13,0,156,3.2857,4.75,5.2,0.5,4.1818,3.3333,4.25,4.4,1.4286,3,4.6429,4.1,4.3333,5.7273,4,5.7143,2,0.5,2.5,1.1667,3,1.8889,1.2222,4.25,4.3333,3.125
202,"Grant-White",7,2,11,10,142,4.7143,5.5,4.8,2.125,3.9091,2.6667,4.25,6,1.4286,2.8261,4.2857,4.9,5.4167,5.8182,2.5714,7.1429,2.25,3.75,4.25,1.8333,3,2.4444,3.4444,8,6.6667,4.625
203,"Grant-White",7,1,12,6,150,4.8571,6,5.6,2.75,3.2727,3.6667,4.75,5.4,2.7143,2.1739,3.5,4.3,6.3333,5.2727,3,6.4286,0.25,1.75,4,2.5,2.5,4.7778,2.3333,4.5,6.3333,5
204,"Grant-White",7,1,11,11,143,4.1429,5.75,4.8,1.125,3.4545,3,4.75,5,1.5714,4.9565,4.2143,5.15,4,1.8182,3,6.4286,2.5,3.75,3.5,1.3889,5.25,2.8889,2.1111,7,3.6667,5.5
205,"Grant-White",7,1,12,5,149,2.2857,6.25,4.4,1.25,4.6364,2.6667,6.25,5.6,3.4286,4.8696,3.8571,6.1,4.4444,6.7273,5,6.1429,2.25,2.25,3.75,1.5556,4,3.8889,2.3333,6.25,3.3333,3.5
206,"Grant-White",7,2,12,6,150,4.2857,6.25,4.8,2.5,3.8182,3.3333,5.75,5.6,2.5714,4.087,6,5.65,5.5833,7.0909,3.2857,8.5714,2.5,2.5,4,2,3.5,3,2,7.5,5.3333,5.25
208,"Grant-White",7,2,12,8,152,5.1429,8.25,7.6,4.5,6.2727,5.6667,6.25,8.4,5.8571,5.6087,6.8571,6.95,9.25,7.4545,4.5714,8.8571,4,4.75,5,2.9444,5.75,5,4.4444,8.5,6.6667,6
209,"Grant-White",7,2,11,11,143,4,6.25,4,1.125,3.1818,3.3333,4.5,5.8,1.5714,4.1739,5.9286,4.75,4.8333,5.2727,4.8571,8.1429,1.25,1.5,4,1.4444,4.25,1.4444,2.8889,6,3,3.5
210,"Grant-White",7,2,12,5,149,4.2857,6.25,6,1.375,2.9091,3.6667,5.25,7,1.1429,4.4783,4.7857,5.7,5.4722,5.2727,3,7.2857,1.5,1,1.75,2,3.25,2,2.8889,6.75,5.6667,4.75
211,"Grant-White",7,2,12,5,149,2.8571,6.25,5.2,0.75,3.5455,3,5.25,5.4,2.2857,3.8696,3.5,5.05,4.9444,6.4545,1.5714,5.8571,1.75,2.25,3.75,0.3889,1.5,2.6667,1.7778,6.5,4,3.125
212,"Grant-White",7,1,12,0,144,3.8571,6.5,5.2,0.75,2.4545,3.3333,4,5,1.8571,3.8261,2.5,5.35,3.8056,7,4.5714,8.4286,1.75,1.75,3.75,1.5,5,4,3,6,5.6667,4.625
213,"Grant-White",7,1,12,10,154,4.5714,5.25,6.4,1,2.4545,0.3333,1.75,5.8,1.5714,4.4783,4.4286,6.8,4.2778,5.7273,5.2857,7.1429,0.75,4.5,1,2.5,4.5,2.1111,2.6667,6.5,3.3333,5.375
214,"Grant-White",7,1,12,9,153,5.4286,7.75,7.2,1.5,2.6364,3.3333,2.75,6,2,3.6087,4.0714,5.4,5.5833,6.4545,3.8571,8.2857,2.25,2,4.25,2.2222,3,4.1111,2.5556,6.75,5.6667,5.875
215,"Grant-White",7,2,12,8,152,2.4286,5.25,2.8,0.75,3.1818,1.6667,2.5,2.2,1.4286,4.3043,4.6429,4.35,4.0833,5.0909,4.4286,4.8571,2.5,1.5,3.5,0,2.25,1.7778,0.6667,6.25,2.6667,2.875
216,"Grant-White",7,1,12,9,153,4.8571,7,8,3,5.0909,4.6667,5.5,5.8,3.7143,2.1304,2.4286,4.2,4.75,5.3636,4.7143,7,1,3.5,4.25,1.3333,3.5,2.3333,3.4444,6.25,7.6667,4.625
217,"Grant-White",7,1,13,1,157,3.5714,7.75,4.8,2.25,3.3636,2.3333,3,3.6,1.5714,2.8261,3.7857,4,3.4722,6.9091,4.8571,8.1429,2.25,2,4.5,2.3333,3.25,4.1111,2.2222,7,5.6667,3
218,"Grant-White",7,2,12,1,145,4.7143,7.75,4.8,3.75,4.3636,3.6667,5.75,5.8,2.5714,2.8696,3.8571,5.65,5.1667,5.8182,3.2857,7.8571,2.5,3,2.25,1.1667,2.75,4.2222,2.6667,7.5,6,5.75
219,"Grant-White",7,1,13,1,157,5.7143,5.75,6,2.5,5.9091,3.3333,5.75,4.6,5,3.1304,6.1429,5.2,6.1667,5.8182,3.5714,6.5714,1.75,2.75,4.5,1.6667,4.5,5.5556,2.2222,5,4,5.625
220,"Grant-White",7,2,12,7,151,4.2857,5.5,5.2,2.5,4.4545,2.6667,4.25,5.2,2.8571,4.1304,4.7143,5.5,4.4722,7.0909,3.8571,5.4286,1.25,2.75,4.25,1,3.5,3.4444,1.7778,8.25,6,3.5
221,"Grant-White",7,2,12,1,145,5.1429,7,7.6,2.75,5.3636,4.3333,6,6.6,5.1429,3.5652,5.6429,5.15,5.6944,7.5455,5,8.7143,4.25,3.5,5,1.7778,4,3.2222,3.1111,5.25,6.3333,5.5
222,"Grant-White",7,1,12,9,153,3.4286,4,6.4,1.75,5.0909,1.6667,4.25,5.4,1.5714,4.6087,3.5,4,3.2778,4.9091,3,5.1429,1.5,2.25,3.25,0.2778,3.25,3.1111,0.8889,5.25,4,3.5
223,"Grant-White",7,1,12,8,152,5.7143,6.5,6.8,3.25,5.0909,4.3333,6,7.8,3.5714,3.8261,4.9286,6.05,6.25,7.3636,4.5714,7,2.75,4,4.5,3,5,3.4444,2.5556,7.75,7.6667,5.375
224,"Grant-White",7,2,12,6,150,4.2857,6,6.4,2.375,4.5455,4.6667,6.5,5.6,3.4286,4.8696,4.9286,5.75,5.1389,6.7273,3.4286,4.4286,2.25,2,4.75,2.1667,4,4.2222,2.7778,8,5.3333,4.75
225,"Grant-White",7,1,14,0,156,6,6.75,6.8,3.375,2.2727,2.3333,3.25,3.4,0.5714,5.4783,8.2143,10,6.5556,8,4.4286,8.5714,5.25,4.75,5,2.6111,6,3.2222,3.3333,7.25,6.6667,5.125
226,"Grant-White",7,2,12,3,147,4.7143,6.75,5.2,2,2.6364,2.6667,4.25,5.8,1.8571,2.9565,4.5,5.8,6.0833,4.4545,3,6.8571,1.5,2,3.25,0.5,3.75,2.5556,0.6667,5.25,5,4.375
227,"Grant-White",7,2,12,4,148,4.5714,5.5,4.8,1.875,3.5455,3,5,5.2,2.4286,3.2174,5.6429,5.9,5.3056,6.3636,2.2857,5.2857,0.75,1.75,3.5,0,2,3.7778,0.8889,6.25,3.6667,3
228,"Grant-White",7,1,12,9,153,4.4286,5.25,5.2,0.625,5,4.3333,4.75,5.2,2.7143,4.1739,6.2143,6.05,5,4.7273,2.2857,6.2857,0.25,0.5,3.5,2.3333,2.5,2.7778,0.5556,7.25,5.3333,4.625
229,"Grant-White",7,2,14,7,175,3.8571,5.75,4.4,0.5,2.1818,3,2.75,4.8,1,2.3913,4.8571,5.9,4.9444,5.7273,4.1429,6.5714,0.75,2.75,3.5,0.3333,1.75,2,0.5556,4,4,4.125
230,"Grant-White",7,1,13,2,158,4.4286,5.75,5.2,1.375,4,1.3333,4,6,2.2857,3.5217,4.2857,6.4,5.25,5.0909,3.7143,6.1429,0.25,2,4.5,1.2222,3,0.7778,2.3333,6.25,6,5
231,"Grant-White",7,1,12,5,149,4.4286,8.5,5.2,0.375,4.4545,3,4.75,5.2,2.4286,2.2174,6.2857,4.6,5.0556,6.2727,4,6.2857,0.5,1.75,4.75,1.1667,4.25,2.3333,2.3333,6.5,5.6667,2.75
232,"Grant-White",7,2,12,0,144,2.4286,7.5,5.6,1.625,4.1818,3,4.25,4.6,1.8571,2.2609,3.7857,4.7,3.9722,5,2,5.4286,0.5,2.5,4.25,2.1667,1.75,3,0.6667,7,6,4.125
233,"Grant-White",7,1,12,0,144,4.2857,5,5.6,1.625,4.6364,3,5,6,3,4.6957,4.8571,5.65,5,6.4545,3.8571,7.8571,2.25,2,4.75,3.7778,3.75,4.7778,4.1111,6.75,5.3333,4.375
234,"Grant-White",7,1,12,6,150,4,4.75,6,1,3,3,3.5,5.4,2.8571,3.5217,4.8571,5.8,4.4167,6.4545,4,6,2,1.5,3.75,0.6667,2.25,3,1.4444,7.25,5,3.875
235,"Grant-White",7,1,13,2,158,2.7143,5.5,5.6,1,1.6364,1.6667,3,4.2,0.5714,2.1739,3.7857,3.6,4.5,6.1818,3.7143,6.2857,0.75,1,3,0.1111,1.5,1.7778,1,4.25,5.6667,2.75
236,"Grant-White",7,1,12,0,144,4,5,4.8,1.75,2.8182,2.6667,3.75,6,1.1429,4.3478,4.7143,7.2,5.6944,4.1818,1.5714,6.4286,1.5,3,4,0.6667,2,3,2,7.25,6,4
237,"Grant-White",7,2,12,10,154,5.4286,6.25,5.2,1.625,3.7273,3,5.75,6.2,2.1429,2.4348,4.7857,6.5,5.5,6.1818,4.7143,5.7143,2,2.25,4.25,2,2,3.8889,1.6667,4.5,6,5
238,"Grant-White",7,2,11,11,143,4.8571,7,5.6,1.25,4.3636,3,5.5,5.6,2.8571,3.5217,5.4286,4.8,5.5278,5.5455,3.5714,6.4286,0.5,2.25,4.25,1.8889,3.25,3.1111,2.2222,6,5,3.5
239,"Grant-White",7,2,13,8,164,2.5714,5.5,3.6,0.625,1.8182,0.6667,1,2,0.2857,1.3043,1.3571,3.05,3.1111,4.1818,3.1429,4.8571,0.75,1.25,1.5,0.1111,0.5,2,1.1111,2.75,4,2.875
240,"Grant-White",7,2,12,7,151,2.2857,5,4.8,1,3.8182,2,4.5,7,1.8571,4.0435,5.2143,5.55,5.1389,5.1818,2.5714,4.5714,0.75,1.25,4.5,0.8333,5,3.1111,0.4444,7.5,5.3333,4.125
241,"Grant-White",7,2,12,4,148,2.5714,7.5,5.2,2.125,4.7273,6.3333,6,7.2,4.7143,4,5.9286,5.4,4.1111,5.9091,5.4286,6.7143,2.25,0.75,3.5,1.6667,5.25,3.7778,3.6667,8,5.6667,5.125
242,"Grant-White",7,2,12,6,150,4.5714,5.25,6.4,1.125,5.7273,5,5,6.4,3.5714,4.1304,5.5,4.6,4.9444,6.1818,3.8571,7,3,2.5,3.5,1.1667,3,3.4444,3.1111,6.5,6.3333,5.125
243,"Grant-White",7,1,12,6,150,4.8571,5.25,6,1.125,4.2727,3,5.75,4.8,3.4286,2.5217,2.2143,4.55,4.8056,4.4545,1.8571,6.4286,0.25,0.75,3.75,1.1667,2.75,4.7778,1.3333,6.25,5.6667,6
244,"Grant-White",7,1,12,1,145,3,5.5,6,1,2.6364,3,3,4.8,1.1429,2.8261,4.7857,4.2,3.8056,6.9091,2.4286,7,0,1,3.5,1,3,2.6667,1.4444,5.25,4.3333,5.375
245,"Grant-White",7,2,12,9,153,4,5,5.6,1.75,3.3636,2.6667,4.5,5.8,1.4286,2.6522,4.2143,5,5.9444,7.1818,3.4286,6.2857,1,1,3.25,0.1667,2.75,2.8889,2.5556,5.5,5.3333,5
246,"Grant-White",7,2,12,3,147,5.5714,6,5.6,3.125,3.7273,4.6667,4.25,4.8,1.5714,3.5652,5,5.2,6.7778,6.2727,4.1429,6.7143,2,1,5,1,4.25,3.1111,2.4444,6.75,5.3333,4.875
247,"Grant-White",7,2,12,4,148,4.5714,6.5,5.6,1.25,4.2727,3.6667,5.75,5.4,3.2857,2.6957,2.7857,4.15,3.9722,5.7273,3.8571,6.8571,1.75,1.75,5,3,3.75,3,2.4444,5.75,4.6667,4.375
248,"Grant-White",7,2,12,10,154,4,6,4,1,1.8182,2,2.5,3,1.4286,2.6522,4.6429,3.85,4.4167,5.9091,1.4286,6.7143,1.75,2.5,2.5,2.3333,4.25,2,0.1111,6.5,4,4.75
249,"Grant-White",7,1,12,5,149,3.4286,5,6.4,2.75,4,3.6667,4.75,6.4,2.5714,3.087,4.2857,4.7,4.2778,6.9091,5.2857,7,1.75,1.75,2.75,2.1111,3.75,2.6667,3.4444,6.5,6,5.375
250,"Grant-White",7,2,11,11,143,4.4286,4.75,5.6,1.625,2.5455,2.6667,5.5,5.2,2.4286,2.6522,3.5,3.5,3.3333,6.9091,3,8,0.75,1.75,3.75,2.6667,3.25,3.1111,2,6.5,5,4.25
251,"Grant-White",7,2,12,8,152,4.1429,6.5,5.2,3.125,4.8182,3.3333,5.5,6.4,2.5714,3.6957,5.1429,6.4,5.6111,6.8182,3.4286,7.8571,1,2,2.25,1.8333,4,2.7778,1.6667,5.5,5.3333,4.75
252,"Grant-White",7,1,11,11,143,4.1429,7.5,5.2,1.875,3,2.3333,4,4.2,1.7143,2.7826,3.2857,3.7,4.5833,6.3636,3.5714,6.4286,0.25,1,2.75,-0.0556,2.25,1.1111,1,6.25,3.6667,5.625
253,"Grant-White",7,1,14,1,169,2.2857,5.75,4,0.625,3.8182,2.3333,5,5.4,1.8571,4.1304,4,6.4,3.8056,5.6364,4.2857,4.7143,0.25,2.5,1.25,2,1.5,1.6667,0.6667,5.25,1.6667,1.625
254,"Grant-White",7,2,12,4,148,3.5714,6.25,6,3.25,2.9091,1.6667,1.75,4.8,0.7143,2,5.5,3.6,3.3611,6,4.5714,7.4286,2,2,4.25,1.6667,3.5,2.6667,0.4444,3.5,6,2.5
256,"Grant-White",7,1,13,2,158,3.5714,6.75,4.4,1.875,4.5455,2,4,6.8,1.8571,3.7391,4.8571,4.95,5.9444,4.5455,2.8571,5.8571,1,1.5,2.5,1.8333,3.5,3.1111,2.1111,5.25,4.3333,4.875
257,"Grant-White",7,2,12,3,147,5.2857,7.75,6,2,4.9091,4.6667,7,6.2,2.8571,3.8261,5.6429,5.7,6.1944,5.7273,3.5714,7.1429,1.25,1.5,4,2,3,2.5556,2.1111,6.75,5.6667,5
258,"Grant-White",7,2,12,11,155,4.2857,6.5,5.2,2.375,3.2727,2.3333,5.25,5.4,2,3.8696,3.9286,6.05,6.1667,4.9091,5,6.7143,1,2.25,4,2.6111,4.5,1.7778,2.6667,8,5.3333,4
259,"Grant-White",7,1,11,5,137,4.1429,6,6.4,1.25,4.0909,3,5.25,5.6,2.4286,4.3478,4.9286,6.05,5.7222,6.4545,3.1429,7.1429,2.25,1.75,2,3.3333,4.25,3.1111,3,6.75,5.3333,4.5
260,"Grant-White",7,2,12,4,148,5.2857,8.5,4.4,2.125,5.0909,6,6,6.2,3.8571,3.4783,5,5.6,6.3611,5.0909,4,6.4286,2.5,3.25,3,2.2222,3.75,4.2222,3.3333,7.25,4.6667,5.875
261,"Grant-White",7,2,12,0,144,4,5,5.6,0.5,2.7273,2.6667,4.5,5,0.8571,3.1739,5.2857,4.2,4.4722,7.1818,3.7143,7.1429,2.5,1.25,3.75,1.9444,4,1.6667,0.8889,6,5,4.625
262,"Grant-White",7,1,13,11,167,3.1429,8.5,5.6,2.375,3.6364,3.3333,4.25,4.8,2.1429,3.4783,4,5.05,5.1389,4.6364,3.2857,6.2857,0.25,1,4,1.5,3.75,2.1111,1.2222,6.25,6.3333,4.375
263,"Grant-White",7,2,12,4,148,5.4286,5.25,5.6,2.25,5.0909,6,6.5,7.4,4.4286,5.2174,4.9286,5.45,5.6944,6.2727,3,6.7143,1.25,1.75,2.75,4.8333,3.75,3.8889,2,7.25,4,5.75
264,"Grant-White",7,1,12,9,153,4.1429,5.25,6.4,2.25,2.0909,2.3333,4,4.4,1,2.913,4.5714,4.4,5,4.3636,4.5714,5.8571,1.5,2,4.25,0.5,3.25,4,3,5,6,5.375
265,"Grant-White",7,1,12,10,154,3.5714,6.25,7.2,3.75,4.3636,3,4,7.2,2.2857,4.6087,4.7857,6.35,4.8611,6.0909,3.5714,6.5714,1,3.5,5,1.5556,4.25,2.6667,2.2222,7.5,5.6667,4.125
